Thời_Gian,Luồng_Xử_Lý (Route),Chủ_Đề (Category),Câu_Hỏi_User,Độ_Dài_Câu_Trả_Lời
2026-06-06 00:07:08,RAG,nha_tro,những nhà trọ có điều hòa nóng lạnh,1460
2026-06-06 00:07:23,RAG,tuyen_sinh,thêm nữa đi,2428
2026-06-06 00:07:53,RAG,tuyen_sinh,mục tiêu của ngành khoa học dữ liệu,1649
2026-06-06 00:08:10,RAG,nha_tro,tổ hợp xét tuyển ngành khoa học dữ liệu,886
2026-06-06 00:09:27,RAG,nha_tro,tổ hợp xét tuyển ngành công nghệ thông tin,1242
2026-06-06 00:17:35,RAG,nha_tro,tổ hợp xét tuyển ngành khoa học dữ liệu,633
2026-06-06 00:18:30,RAG,tuyen_sinh,mục tiêu cụ thể ngành khoa học dữ liệu,1761
2026-06-06 00:19:17,RAG,tuyen_sinh,khung chương trình đào tạo ngành khoa học dữ liệu,1233
2026-06-06 00:19:48,RAG,nha_tro,"tổ hợp môn thi, xét tuyển ngành khoa học dữ liệu",912
2026-06-06 13:23:58,RAG,nha_tro,toàn bộ tổ hợp xét tuyển của ngành khoa học dữ liệu,642
2026-06-06 13:25:13,RAG,tuyen_sinh,các ngành về công nghệ,1367
2026-06-06 13:35:12,RAG,nha_tro,tổ hợp xét tuyển ngành toán tin định hướng giáo viên,637
2026-06-06 13:36:09,RAG,nha_tro,"ơ tôi tra trên mạng là như này cơ mà Toán, Vật lý, Hoá học (A00)

Toán, Hóa học, Lịch sử (A05)

Toán, Hóa học, Địa lí (A06)

Toán, Lịch sử, GDCD (A08)

Toán, Hóa học, GDCD (A11)

Toán, Hóa học, Sinh học (B00)

Ngữ văn, Toán, Tiếng Anh (D01)

Toán, Hóa học, Tiếng Anh (D07)

Toán, Sinh học, Tiếng Anh (D08)

Toán, GDCD, Tiếng Anh (D84)

Toán, Lịch sử, Giáo dục kinh tế và pháp luật (X17)

Toán, Hóa học, Giáo dục kinh tế và pháp luật (X09)

Toán, Giáo dục kinh tế và pháp luật, Tiếng Anh (X25)",935
2026-06-06 13:36:43,RAG,nha_tro,tổ hợp xét tuyển ngành toán tin định hướng giáo viên,662
2026-06-06 13:56:09,RAG,nha_tro,tổ hợp xét tuyển ngành công nghệ thông tin,565
2026-06-07 14:05:26,RAG,tuyen_sinh,thông tin ngành khoa học dữ liệu,1571
